A B C M S F
2 3 1 1 2 6
2 4 0 1 2 6
2 4 1 1 2 7
2 5 0 1 2 7
2 8 0 1 2 10
2 8 1 1 2 11
2 9 0 1 2 11
2 9 1 1 2 12
2 10 0 1 2 12
2 10 1 1 2 13
2 11 0 1 2 13
2 11 1 1 2 14
2 12 0 1 2 14
2 12 1 1 2 15
2 13 0 1 2 15
2 13 1 1 2 0
2 14 0 1 2 0
2 14 1 1 2 1
2 15 0 1 2 1
2 15 1 1 2 2
3 0 0 1 2 3
3 0 1 1 2 4
3 1 0 1 2 4
3 1 1 1 2 5
3 2 0 1 2 5
3 2 1 1 2 6
3 3 0 1 2 6
3 3 1 1 2 7
3 4 0 1 2 7
3 8 0 1 2 11
3 8 1 1 2 12
3 9 0 1 2 12
3 9 1 1 2 13
3 10 0 1 2 13
3 10 1 1 2 14
3 11 0 1 2 14
3 11 1 1 2 15
3 12 0 1 2 15
3 12 1 1 2 0
3 13 0 1 2 0
3 13 1 1 2 1
3 14 0 1 2 1
3 14 1 1 2 2
3 15 0 1 2 2
3 15 1 1 2 3
4 0 0 1 2 4
4 0 1 1 2 5
4 1 0 1 2 5
4 1 1 1 2 6
4 2 0 1 2 6
4 2 1 1 2 7
4 3 0 1 2 7
4 8 0 1 2 12
4 8 1 1 2 13
4 9 0 1 2 13
4 9 1 1 2 14
4 10 0 1 2 14
4 10 1 1 2 15
4 11 0 1 2 15
4 11 1 1 2 0
4 12 0 1 2 0
4 12 1 1 2 1
4 13 0 1 2 1
4 13 1 1 2 2
4 14 0 1 2 2
4 14 1 1 2 3
4 15 0 1 2 3
4 15 1 1 2 4
5 0 0 1 2 5
5 0 1 1 2 6
5 1 0 1 2 6
5 1 1 1 2 7
5 2 0 1 2 7
5 8 0 1 2 13
5 8 1 1 2 14
5 9 0 1 2 14
5 9 1 1 2 15
5 10 0 1 2 15
5 10 1 1 2 0
5 11 0 1 2 0
5 11 1 1 2 1
5 12 0 1 2 1
5 12 1 1 2 2
5 13 0 1 2 2
5 13 1 1 2 3
5 14 0 1 2 3
5 14 1 1 2 4
5 15 0 1 2 4
5 15 1 1 2 5
6 0 0 1 2 6
6 0 1 1 2 7
6 1 0 1 2 7
6 8 0 1 2 14
6 8 1 1 2 15
6 9 0 1 2 15
6 9 1 1 2 0
6 10 0 1 2 0
6 10 1 1 2 1
6 11 0 1 2 1
6 11 1 1 2 2
6 12 0 1 2 2
6 12 1 1 2 3
6 13 0 1 2 3
6 13 1 1 2 4
6 14 0 1 2 4
6 14 1 1 2 5
6 15 0 1 2 5
6 15 1 1 2 6
7 0 0 1 2 7
7 8 0 1 2 15
7 8 1 1 2 0
7 9 0 1 2 0
7 9 1 1 2 1
7 10 0 1 2 1
7 10 1 1 2 2
7 11 0 1 2 2
7 11 1 1 2 3
7 12 0 1 2 3
7 12 1 1 2 4
7 13 0 1 2 4
7 13 1 1 2 5
7 14 0 1 2 5
7 14 1 1 2 6
7 15 0 1 2 6
7 15 1 1 2 7
8 0 0 1 2 8
8 0 1 1 2 9
8 1 0 1 2 9
8 1 1 1 2 10
8 2 0 1 2 10
8 2 1 1 2 11
8 3 0 1 2 11
8 3 1 1 2 12
8 4 0 1 2 12
8 4 1 1 2 13
8 5 0 1 2 13
8 5 1 1 2 14
8 6 0 1 2 14
8 6 1 1 2 15
8 7 0 1 2 15
8 7 1 1 2 0
8 15 1 1 2 8
9 0 0 1 2 9
9 0 1 1 2 10
9 1 0 1 2 10
9 1 1 1 2 11
9 2 0 1 2 11
9 2 1 1 2 12
9 3 0 1 2 12
9 3 1 1 2 13
9 4 0 1 2 13
9 4 1 1 2 14
9 5 0 1 2 14
9 5 1 1 2 15
9 6 0 1 2 15
9 6 1 1 2 0
9 7 0 1 2 0
9 7 1 1 2 1
9 14 1 1 2 8
9 15 0 1 2 8
9 15 1 1 2 9
10 0 0 1 2 10
10 0 1 1 2 11
10 1 0 1 2 11
10 1 1 1 2 12
10 2 0 1 2 12
10 2 1 1 2 13
10 3 0 1 2 13
10 3 1 1 2 14
10 4 0 1 2 14
10 4 1 1 2 15
10 5 0 1 2 15
10 5 1 1 2 0
10 6 0 1 2 0
10 6 1 1 2 1
10 7 0 1 2 1
10 7 1 1 2 2
10 13 1 1 2 8
10 14 0 1 2 8
10 14 1 1 2 9
10 15 0 1 2 9
10 15 1 1 2 10
11 0 0 1 2 11
11 0 1 1 2 12
11 1 0 1 2 12
11 1 1 1 2 13
11 2 0 1 2 13
11 2 1 1 2 14
11 3 0 1 2 14
11 3 1 1 2 15
11 4 0 1 2 15
11 4 1 1 2 0
11 5 0 1 2 0
11 5 1 1 2 1
11 6 0 1 2 1
11 6 1 1 2 2
11 7 0 1 2 2
11 7 1 1 2 3
11 12 1 1 2 8
11 13 0 1 2 8
11 13 1 1 2 9
11 14 0 1 2 9
11 14 1 1 2 10
11 15 0 1 2 10
11 15 1 1 2 11
12 0 0 1 2 12
12 0 1 1 2 13
12 1 0 1 2 13
12 1 1 1 2 14
12 2 0 1 2 14
12 2 1 1 2 15
12 3 0 1 2 15
12 3 1 1 2 0
12 4 0 1 2 0
12 4 1 1 2 1
12 5 0 1 2 1
12 5 1 1 2 2
12 6 0 1 2 2
12 6 1 1 2 3
12 7 0 1 2 3
12 7 1 1 2 4
12 11 1 1 2 8
12 12 0 1 2 8
12 12 1 1 2 9
12 13 0 1 2 9
12 13 1 1 2 10
12 14 0 1 2 10
12 14 1 1 2 11
12 15 0 1 2 11
12 15 1 1 2 12
13 0 0 1 2 13
13 0 1 1 2 14
13 1 0 1 2 14
13 1 1 1 2 15
13 2 0 1 2 15
13 2 1 1 2 0
13 3 0 1 2 0
13 3 1 1 2 1
13 4 0 1 2 1
13 4 1 1 2 2
13 5 0 1 2 2
13 5 1 1 2 3
13 6 0 1 2 3
13 6 1 1 2 4
13 7 0 1 2 4
13 7 1 1 2 5
13 10 1 1 2 8
13 11 0 1 2 8
13 11 1 1 2 9
13 12 0 1 2 9
13 12 1 1 2 10
13 13 0 1 2 10
13 13 1 1 2 11
13 14 0 1 2 11
13 14 1 1 2 12
13 15 0 1 2 12
13 15 1 1 2 13
14 0 0 1 2 14
14 0 1 1 2 15
14 1 0 1 2 15
14 1 1 1 2 0
14 2 0 1 2 0
14 2 1 1 2 1
14 3 0 1 2 1
14 3 1 1 2 2
14 4 0 1 2 2
14 4 1 1 2 3
14 5 0 1 2 3
14 5 1 1 2 4
14 6 0 1 2 4
14 6 1 1 2 5
14 7 0 1 2 5
14 7 1 1 2 6
14 9 1 1 2 8
14 10 0 1 2 8
14 10 1 1 2 9
14 11 0 1 2 9
14 11 1 1 2 10
14 12 0 1 2 10
14 12 1 1 2 11
14 13 0 1 2 11
14 13 1 1 2 12
14 14 0 1 2 12
14 14 1 1 2 13
14 15 0 1 2 13
14 15 1 1 2 14
15 0 0 1 2 15
15 0 1 1 2 0
15 1 0 1 2 0
15 1 1 1 2 1
15 2 0 1 2 1
15 2 1 1 2 2
15 3 0 1 2 2
15 3 1 1 2 3
15 4 0 1 2 3
15 4 1 1 2 4
15 5 0 1 2 4
15 5 1 1 2 5
15 6 0 1 2 5
15 6 1 1 2 6
15 7 0 1 2 6
15 7 1 1 2 7
15 8 1 1 2 8
15 9 0 1 2 8
15 9 1 1 2 9
15 10 0 1 2 9
15 10 1 1 2 10
15 11 0 1 2 10
15 11 1 1 2 11
15 12 0 1 2 11
15 12 1 1 2 12
15 13 0 1 2 12
15 13 1 1 2 13
15 14 0 1 2 13
15 14 1 1 2 14
15 15 0 1 2 14
15 15 1 1 2 15
0 0 0 1 3 15
0 0 1 1 3 0
0 1 0 1 3 14
0 1 1 1 3 15
0 2 0 1 3 13
0 2 1 1 3 14
0 3 0 1 3 12
0 3 1 1 3 13
0 4 0 1 3 11
0 4 1 1 3 12
0 5 0 1 3 10
0 5 1 1 3 11
0 6 0 1 3 9
0 6 1 1 3 10
0 7 0 1 3 8
0 7 1 1 3 9
0 8 0 1 3 7
0 9 0 1 3 6
0 9 1 1 3 7
0 10 0 1 3 5
0 10 1 1 3 6
0 11 0 1 3 4
0 11 1 1 3 5
0 12 0 1 3 3
0 12 1 1 3 4
0 13 0 1 3 2
0 13 1 1 3 3
0 14 0 1 3 1
0 14 1 1 3 2
0 15 0 1 3 0
0 15 1 1 3 1
1 0 0 1 3 0
1 0 1 1 3 1
1 1 0 1 3 15
1 1 1 1 3 0
1 2 0 1 3 14
1 2 1 1 3 15
1 3 0 1 3 13
1 3 1 1 3 14
1 4 0 1 3 12
1 4 1 1 3 13
1 5 0 1 3 11
1 5 1 1 3 12
1 6 0 1 3 10
1 6 1 1 3 11
1 7 0 1 3 9
1 7 1 1 3 10
1 9 0 1 3 7
1 10 0 1 3 6
1 10 1 1 3 7
1 11 0 1 3 5
1 11 1 1 3 6
1 12 0 1 3 4
1 12 1 1 3 5
1 13 0 1 3 3
1 13 1 1 3 4
1 14 0 1 3 2
1 14 1 1 3 3
1 15 0 1 3 1
1 15 1 1 3 2
2 0 0 1 3 1
2 0 1 1 3 2
2 1 0 1 3 0
2 1 1 1 3 1
2 2 0 1 3 15
2 2 1 1 3 0
2 3 0 1 3 14
2 3 1 1 3 15
2 4 0 1 3 13
2 4 1 1 3 14
2 5 0 1 3 12
2 5 1 1 3 13
2 6 0 1 3 11
2 6 1 1 3 12
2 7 0 1 3 10
2 7 1 1 3 11
2 10 0 1 3 7
2 11 0 1 3 6
2 11 1 1 3 7
2 12 0 1 3 5
2 12 1 1 3 6
2 13 0 1 3 4
2 13 1 1 3 5
2 14 0 1 3 3
2 14 1 1 3 4
2 15 0 1 3 2
2 15 1 1 3 3
3 0 0 1 3 2
3 0 1 1 3 3
3 1 0 1 3 1
3 1 1 1 3 2
3 2 0 1 3 0
3 2 1 1 3 1
3 3 0 1 3 15
3 3 1 1 3 0
3 4 0 1 3 14
3 4 1 1 3 15
3 5 0 1 3 13
3 5 1 1 3 14
3 6 0 1 3 12
3 6 1 1 3 13
3 7 0 1 3 11
3 7 1 1 3 12
3 11 0 1 3 7
3 12 0 1 3 6
3 12 1 1 3 7
3 13 0 1 3 5
3 13 1 1 3 6
3 14 0 1 3 4
3 14 1 1 3 5
3 15 0 1 3 3
3 15 1 1 3 4
4 0 0 1 3 3
4 0 1 1 3 4
4 1 0 1 3 2
4 1 1 1 3 3
4 2 0 1 3 1
4 2 1 1 3 2
4 3 0 1 3 0
4 3 1 1 3 1
4 4 0 1 3 15
4 4 1 1 3 0
4 5 0 1 3 14
4 5 1 1 3 15
4 6 0 1 3 13
4 6 1 1 3 14
4 7 0 1 3 12
4 7 1 1 3 13
4 12 0 1 3 7
4 13 0 1 3 6
4 13 1 1 3 7
4 14 0 1 3 5
4 14 1 1 3 6
4 15 0 1 3 4
4 15 1 1 3 5
5 0 0 1 3 4
5 0 1 1 3 5
5 1 0 1 3 3
5 1 1 1 3 4
5 2 0 1 3 2
5 2 1 1 3 3
5 3 0 1 3 1
5 3 1 1 3 2
5 4 0 1 3 0
5 4 1 1 3 1
5 5 0 1 3 15
5 5 1 1 3 0
5 6 0 1 3 14
5 6 1 1 3 15
5 7 0 1 3 13
5 7 1 1 3 14
5 13 0 1 3 7
5 14 0 1 3 6
5 14 1 1 3 7
5 15 0 1 3 5
5 15 1 1 3 6
6 0 0 1 3 5
6 0 1 1 3 6
6 1 0 1 3 4
6 1 1 1 3 5
6 2 0 1 3 3
6 2 1 1 3 4
6 3 0 1 3 2
6 3 1 1 3 3
6 4 0 1 3 1
6 4 1 1 3 2
6 5 0 1 3 0
6 5 1 1 3 1
6 6 0 1 3 15
6 6 1 1 3 0
6 7 0 1 3 14
6 7 1 1 3 15
6 14 0 1 3 7
6 15 0 1 3 6
6 15 1 1 3 7
7 0 0 1 3 6
7 0 1 1 3 7
7 1 0 1 3 5
7 1 1 1 3 6
7 2 0 1 3 4
7 2 1 1 3 5
7 3 0 1 3 3
7 3 1 1 3 4
7 4 0 1 3 2
7 4 1 1 3 3
7 5 0 1 3 1
7 5 1 1 3 2
7 6 0 1 3 0
7 6 1 1 3 1
7 7 0 1 3 15
7 7 1 1 3 0
7 15 0 1 3 7
8 0 1 1 3 8
8 8 0 1 3 15
8 8 1 1 3 0
8 9 0 1 3 14
8 9 1 1 3 15
8 10 0 1 3 13
8 10 1 1 3 14
8 11 0 1 3 12
8 11 1 1 3 13
8 12 0 1 3 11
8 12 1 1 3 12
8 13 0 1 3 10
8 13 1 1 3 11
8 14 0 1 3 9
8 14 1 1 3 10
8 15 0 1 3 8
8 15 1 1 3 9
9 0 0 1 3 8
9 0 1 1 3 9
9 1 1 1 3 8
9 8 0 1 3 0
9 8 1 1 3 1
9 9 0 1 3 15
9 9 1 1 3 0
9 10 0 1 3 14
9 10 1 1 3 15
9 11 0 1 3 13
9 11 1 1 3 14
9 12 0 1 3 12
9 12 1 1 3 13
9 13 0 1 3 11
9 13 1 1 3 12
9 14 0 1 3 10
9 14 1 1 3 11
9 15 0 1 3 9
9 15 1 1 3 10
10 0 0 1 3 9
10 0 1 1 3 10
10 1 0 1 3 8
10 1 1 1 3 9
10 2 1 1 3 8
10 8 0 1 3 1
10 8 1 1 3 2
10 9 0 1 3 0
10 9 1 1 3 1
10 10 0 1 3 15
10 10 1 1 3 0
10 11 0 1 3 14
10 11 1 1 3 15
10 12 0 1 3 13
10 12 1 1 3 14
10 13 0 1 3 12
10 13 1 1 3 13
10 14 0 1 3 11
10 14 1 1 3 12
10 15 0 1 3 10
10 15 1 1 3 11
11 0 0 1 3 10
11 0 1 1 3 11
11 1 0 1 3 9
11 1 1 1 3 10
11 2 0 1 3 8
11 2 1 1 3 9
11 3 1 1 3 8
11 8 0 1 3 2
11 8 1 1 3 3
11 9 0 1 3 1
11 9 1 1 3 2
11 10 0 1 3 0
11 10 1 1 3 1
11 11 0 1 3 15
11 11 1 1 3 0
11 12 0 1 3 14
11 12 1 1 3 15
11 13 0 1 3 13
11 13 1 1 3 14
11 14 0 1 3 12
11 14 1 1 3 13
11 15 0 1 3 11
11 15 1 1 3 12
12 0 0 1 3 11
12 0 1 1 3 12
12 1 0 1 3 10
12 1 1 1 3 11
12 2 0 1 3 9
12 2 1 1 3 10
12 3 0 1 3 8
12 3 1 1 3 9
12 4 1 1 3 8
12 8 0 1 3 3
12 8 1 1 3 4
12 9 0 1 3 2
12 9 1 1 3 3
12 10 0 1 3 1
12 10 1 1 3 2
12 11 0 1 3 0
12 11 1 1 3 1
12 12 0 1 3 15
12 12 1 1 3 0
12 13 0 1 3 14
12 13 1 1 3 15
12 14 0 1 3 13
12 14 1 1 3 14
12 15 0 1 3 12
12 15 1 1 3 13
13 0 0 1 3 12
13 0 1 1 3 13
13 1 0 1 3 11
13 1 1 1 3 12
13 2 0 1 3 10
13 2 1 1 3 11
13 3 0 1 3 9
13 3 1 1 3 10
13 4 0 1 3 8
13 4 1 1 3 9
13 5 1 1 3 8
13 8 0 1 3 4
13 8 1 1 3 5
13 9 0 1 3 3
13 9 1 1 3 4
13 10 0 1 3 2
13 10 1 1 3 3
13 11 0 1 3 1
13 11 1 1 3 2
13 12 0 1 3 0
13 12 1 1 3 1
13 13 0 1 3 15
13 13 1 1 3 0
13 14 0 1 3 14
13 14 1 1 3 15
13 15 0 1 3 13
13 15 1 1 3 14
14 0 0 1 3 13
14 0 1 1 3 14
14 1 0 1 3 12
14 1 1 1 3 13
14 2 0 1 3 11
14 2 1 1 3 12
14 3 0 1 3 10
14 3 1 1 3 11
14 4 0 1 3 9
14 4 1 1 3 10
14 5 0 1 3 8
14 5 1 1 3 9
14 6 1 1 3 8
14 8 0 1 3 5
14 8 1 1 3 6
14 9 0 1 3 4
14 9 1 1 3 5
14 10 0 1 3 3
14 10 1 1 3 4
14 11 0 1 3 2
14 11 1 1 3 3
14 12 0 1 3 1
14 12 1 1 3 2
14 13 0 1 3 0
14 13 1 1 3 1
14 14 0 1 3 15
14 14 1 1 3 0
14 15 0 1 3 14
14 15 1 1 3 15
15 0 0 1 3 14
15 0 1 1 3 15
15 1 0 1 3 13
15 1 1 1 3 14
15 2 0 1 3 12
15 2 1 1 3 13
15 3 0 1 3 11
15 3 1 1 3 12
15 4 0 1 3 10
15 4 1 1 3 11
15 5 0 1 3 9
15 5 1 1 3 10
15 6 0 1 3 8
15 6 1 1 3 9
15 7 1 1 3 8
15 8 0 1 3 6
15 8 1 1 3 7
15 9 0 1 3 5
15 9 1 1 3 6
15 10 0 1 3 4
15 10 1 1 3 5
15 11 0 1 3 3
15 11 1 1 3 4
15 12 0 1 3 2
15 12 1 1 3 3
15 13 0 1 3 1
15 13 1 1 3 2
15 14 0 1 3 0
15 14 1 1 3 1
15 15 0 1 3 15
15 15 1 1 3 0
0 0 0 1 4 15
0 0 1 1 4 0
1 0 0 1 4 14
1 0 1 1 4 15
2 0 0 1 4 13
2 0 1 1 4 14
3 0 0 1 4 12
3 0 1 1 4 13
4 0 0 1 4 11
4 0 1 1 4 12
5 0 0 1 4 10
5 0 1 1 4 11
6 0 0 1 4 9
6 0 1 1 4 10
7 0 0 1 4 8
7 0 1 1 4 9
8 0 0 1 4 7
9 0 0 1 4 6
9 0 1 1 4 7
10 0 0 1 4 5
10 0 1 1 4 6
11 0 0 1 4 4
11 0 1 1 4 5
12 0 0 1 4 3
12 0 1 1 4 4
13 0 0 1 4 2
13 0 1 1 4 3
14 0 0 1 4 1
14 0 1 1 4 2
15 0 0 1 4 0
15 0 1 1 4 1
0 0 0 1 5 0
0 0 1 1 5 1
0 1 0 1 5 1
0 1 1 1 5 2
0 2 0 1 5 2
0 2 1 1 5 3
0 3 0 1 5 3
0 3 1 1 5 4
0 4 0 1 5 4
0 4 1 1 5 5
0 5 0 1 5 5
0 5 1 1 5 6
0 6 0 1 5 6
0 6 1 1 5 7
0 7 0 1 5 7
0 8 0 1 5 8
0 8 1 1 5 9
0 9 0 1 5 9
0 9 1 1 5 10
0 10 0 1 5 10
0 10 1 1 5 11
0 11 0 1 5 11
0 11 1 1 5 12
0 12 0 1 5 12
0 12 1 1 5 13
0 13 0 1 5 13
0 13 1 1 5 14
0 14 0 1 5 14
0 14 1 1 5 15
0 15 0 1 5 15
0 15 1 1 5 0
0 0 0 1 6 0
1 0 0 1 6 2
2 0 0 1 6 4
3 0 0 1 6 6
4 0 0 1 6 8
5 0 0 1 6 10
6 0 0 1 6 12
7 0 0 1 6 14
8 0 0 1 6 0
9 0 0 1 6 2
10 0 0 1 6 4
11 0 0 1 6 6
12 0 0 1 6 8
13 0 0 1 6 10
14 0 0 1 6 12
15 0 0 1 6 14
0 0 0 1 7 0
1 0 0 1 7 0
2 0 0 1 7 1
3 0 0 1 7 1
4 0 0 1 7 2
5 0 0 1 7 2
6 0 0 1 7 3
7 0 0 1 7 3
8 0 0 1 7 4
9 0 0 1 7 4
10 0 0 1 7 5
11 0 0 1 7 5
12 0 0 1 7 6
13 0 0 1 7 6
14 0 0 1 7 7
15 0 0 1 7 7
