A B M S F
7 4 0 4 4
7 5 0 4 5
7 6 0 4 6
7 7 0 4 7
7 8 0 4 0
7 9 0 4 1
7 10 0 4 2
7 11 0 4 3
7 12 0 4 4
7 13 0 4 5
7 14 0 4 6
7 15 0 4 7
8 0 0 4 0
8 1 0 4 0
8 2 0 4 0
8 3 0 4 0
8 4 0 4 0
8 5 0 4 0
8 6 0 4 0
8 7 0 4 0
8 8 0 4 8
8 9 0 4 8
8 10 0 4 8
8 11 0 4 8
8 12 0 4 8
8 13 0 4 8
8 14 0 4 8
8 15 0 4 8
9 0 0 4 0
9 1 0 4 1
9 2 0 4 0
9 3 0 4 1
9 4 0 4 0
9 5 0 4 1
9 6 0 4 0
9 7 0 4 1
9 8 0 4 8
9 9 0 4 9
9 10 0 4 8
9 11 0 4 9
9 12 0 4 8
9 13 0 4 9
9 14 0 4 8
9 15 0 4 9
10 0 0 4 0
10 1 0 4 0
10 2 0 4 2
10 3 0 4 2
10 4 0 4 0
10 5 0 4 0
10 6 0 4 2
10 7 0 4 2
10 8 0 4 8
10 9 0 4 8
10 10 0 4 10
10 11 0 4 10
10 12 0 4 8
10 13 0 4 8
10 14 0 4 10
10 15 0 4 10
11 0 0 4 0
11 1 0 4 1
11 2 0 4 2
11 3 0 4 3
11 4 0 4 0
11 5 0 4 1
11 6 0 4 2
11 7 0 4 3
11 8 0 4 8
11 9 0 4 9
11 10 0 4 10
11 11 0 4 11
11 12 0 4 8
11 13 0 4 9
11 14 0 4 10
11 15 0 4 11
12 0 0 4 0
12 1 0 4 0
12 2 0 4 0
12 3 0 4 0
12 4 0 4 4
12 5 0 4 4
12 6 0 4 4
12 7 0 4 4
12 8 0 4 8
12 9 0 4 8
12 10 0 4 8
12 11 0 4 8
12 12 0 4 12
12 13 0 4 12
12 14 0 4 12
12 15 0 4 12
13 0 0 4 0
13 1 0 4 1
13 2 0 4 0
13 3 0 4 1
13 4 0 4 4
13 5 0 4 5
13 6 0 4 4
13 7 0 4 5
13 8 0 4 8
13 9 0 4 9
13 10 0 4 8
13 11 0 4 9
13 12 0 4 12
13 13 0 4 13
13 14 0 4 12
13 15 0 4 13
14 0 0 4 0
14 1 0 4 0
14 2 0 4 2
14 3 0 4 2
14 4 0 4 4
14 5 0 4 4
14 6 0 4 6
14 7 0 4 6
14 8 0 4 8
14 9 0 4 8
14 10 0 4 10
14 11 0 4 10
14 12 0 4 12
14 13 0 4 12
14 14 0 4 14
14 15 0 4 14
15 0 0 4 0
15 1 0 4 1
15 2 0 4 2
15 3 0 4 3
15 4 0 4 4
15 5 0 4 5
15 6 0 4 6
15 7 0 4 7
15 8 0 4 8
15 9 0 4 9
15 10 0 4 10
15 11 0 4 11
15 12 0 4 12
15 13 0 4 13
15 14 0 4 14
15 15 0 4 15
0 0 0 5 0
0 1 0 5 1
0 2 0 5 2
0 3 0 5 3
0 4 0 5 4
0 5 0 5 5
0 6 0 5 6
0 7 0 5 7
0 8 0 5 8
0 9 0 5 9
0 10 0 5 10
0 11 0 5 11
0 12 0 5 12
0 13 0 5 13
0 14 0 5 14
0 15 0 5 15
1 0 0 5 1
1 1 0 5 1
1 2 0 5 3
1 3 0 5 3
1 4 0 5 5
1 5 0 5 5
1 6 0 5 7
1 7 0 5 7
1 8 0 5 9
1 9 0 5 9
1 10 0 5 11
1 11 0 5 11
1 12 0 5 13
1 13 0 5 13
1 14 0 5 15
1 15 0 5 15
2 0 0 5 2
2 1 0 5 3
2 2 0 5 2
2 3 0 5 3
2 4 0 5 6
2 5 0 5 7
2 6 0 5 6
2 7 0 5 7
2 8 0 5 10
2 9 0 5 11
2 10 0 5 10
2 11 0 5 11
2 12 0 5 14
2 13 0 5 15
2 14 0 5 14
2 15 0 5 15
3 0 0 5 3
3 1 0 5 3
3 2 0 5 3
3 3 0 5 3
3 4 0 5 7
3 5 0 5 7
3 6 0 5 7
3 7 0 5 7
3 8 0 5 11
3 9 0 5 11
3 10 0 5 11
3 11 0 5 11
3 12 0 5 15
3 13 0 5 15
3 14 0 5 15
3 15 0 5 15
4 0 0 5 4
4 1 0 5 5
4 2 0 5 6
4 3 0 5 7
4 4 0 5 4
4 5 0 5 5
4 6 0 5 6
4 7 0 5 7
4 8 0 5 12
4 9 0 5 13
4 10 0 5 14
4 11 0 5 15
4 12 0 5 12
4 13 0 5 13
4 14 0 5 14
4 15 0 5 15
5 0 0 5 5
5 1 0 5 5
5 2 0 5 7
5 3 0 5 7
5 4 0 5 5
5 5 0 5 5
5 6 0 5 7
5 7 0 5 7
5 8 0 5 13
5 9 0 5 13
5 10 0 5 15
5 11 0 5 15
5 12 0 5 13
5 13 0 5 13
5 14 0 5 15
5 15 0 5 15
6 0 0 5 6
6 1 0 5 7
6 2 0 5 6
6 3 0 5 7
6 4 0 5 6
6 5 0 5 7
6 6 0 5 6
6 7 0 5 7
6 8 0 5 14
6 9 0 5 15
6 10 0 5 14
6 11 0 5 15
6 12 0 5 14
6 13 0 5 15
6 14 0 5 14
6 15 0 5 15
7 0 0 5 7
7 1 0 5 7
7 2 0 5 7
7 3 0 5 7
7 4 0 5 7
7 5 0 5 7
7 6 0 5 7
7 7 0 5 7
7 8 0 5 15
7 9 0 5 15
7 10 0 5 15
7 11 0 5 15
7 12 0 5 15
7 13 0 5 15
7 14 0 5 15
7 15 0 5 15
8 0 0 5 8
8 1 0 5 9
8 2 0 5 10
8 3 0 5 11
8 4 0 5 12
8 5 0 5 13
8 6 0 5 14
8 7 0 5 15
8 8 0 5 8
8 9 0 5 9
8 10 0 5 10
8 11 0 5 11
8 12 0 5 12
8 13 0 5 13
8 14 0 5 14
8 15 0 5 15
9 0 0 5 9
9 1 0 5 9
9 2 0 5 11
9 3 0 5 11
9 4 0 5 13
9 5 0 5 13
9 6 0 5 15
9 7 0 5 15
9 8 0 5 9
9 9 0 5 9
9 10 0 5 11
9 11 0 5 11
9 12 0 5 13
9 13 0 5 13
9 14 0 5 15
9 15 0 5 15
10 0 0 5 10
10 1 0 5 11
10 2 0 5 10
10 3 0 5 11
10 4 0 5 14
10 5 0 5 15
10 6 0 5 14
10 7 0 5 15
10 8 0 5 10
10 9 0 5 11
10 10 0 5 10
10 11 0 5 11
10 12 0 5 14
10 13 0 5 15
10 14 0 5 14
10 15 0 5 15
11 0 0 5 11
11 1 0 5 11
11 2 0 5 11
11 3 0 5 11
11 4 0 5 15
11 5 0 5 15
11 6 0 5 15
11 7 0 5 15
11 8 0 5 11
11 9 0 5 11
11 10 0 5 11
11 11 0 5 11
11 12 0 5 15
11 13 0 5 15
11 14 0 5 15
11 15 0 5 15
12 0 0 5 12
12 1 0 5 13
12 2 0 5 14
12 3 0 5 15
12 4 0 5 12
12 5 0 5 13
12 6 0 5 14
12 7 0 5 15
12 8 0 5 12
12 9 0 5 13
12 10 0 5 14
12 11 0 5 15
12 12 0 5 12
12 13 0 5 13
12 14 0 5 14
12 15 0 5 15
13 0 0 5 13
13 1 0 5 13
13 2 0 5 15
13 3 0 5 15
13 4 0 5 13
13 5 0 5 13
13 6 0 5 15
13 7 0 5 15
13 8 0 5 13
13 9 0 5 13
13 10 0 5 15
13 11 0 5 15
13 12 0 5 13
13 13 0 5 13
13 14 0 5 15
13 15 0 5 15
14 0 0 5 14
14 1 0 5 15
14 2 0 5 14
14 3 0 5 15
14 4 0 5 14
14 5 0 5 15
14 6 0 5 14
14 7 0 5 15
14 8 0 5 14
14 9 0 5 15
14 10 0 5 14
14 11 0 5 15
14 12 0 5 14
14 13 0 5 15
14 14 0 5 14
14 15 0 5 15
15 0 0 5 15
15 1 0 5 15
15 2 0 5 15
15 3 0 5 15
15 4 0 5 15
15 5 0 5 15
15 6 0 5 15
15 7 0 5 15
15 8 0 5 15
15 9 0 5 15
15 10 0 5 15
15 11 0 5 15
15 12 0 5 15
15 13 0 5 15
15 14 0 5 15
15 15 0 5 15
0 0 0 6 0
0 1 0 6 0
0 2 0 6 0
0 3 0 6 0
0 4 0 6 0
0 5 0 6 0
0 6 0 6 0
0 7 0 6 0
0 8 0 6 0
0 9 0 6 0
0 10 0 6 0
0 11 0 6 0
0 12 0 6 0
0 13 0 6 0
0 14 0 6 0
0 15 0 6 0
1 0 0 6 1
1 1 0 6 0
1 2 0 6 1
1 3 0 6 0
1 4 0 6 1
1 5 0 6 0
1 6 0 6 1
1 7 0 6 0
1 8 0 6 1
1 9 0 6 0
1 10 0 6 1
1 11 0 6 0
1 12 0 6 1
1 13 0 6 0
1 14 0 6 1
1 15 0 6 0
2 0 0 6 2
2 1 0 6 2
2 2 0 6 0
2 3 0 6 0
2 4 0 6 2
2 5 0 6 2
2 6 0 6 0
2 7 0 6 0
2 8 0 6 2
2 9 0 6 2
2 10 0 6 0
2 11 0 6 0
2 12 0 6 2
2 13 0 6 2
2 14 0 6 0
2 15 0 6 0
3 0 0 6 3
3 1 0 6 2
3 2 0 6 1
3 3 0 6 0
3 4 0 6 3
3 5 0 6 2
3 6 0 6 1
3 7 0 6 0
3 8 0 6 3
3 9 0 6 2
3 10 0 6 1
3 11 0 6 0
3 12 0 6 3
3 13 0 6 2
3 14 0 6 1
3 15 0 6 0
4 0 0 6 4
4 1 0 6 4
4 2 0 6 4
4 3 0 6 4
4 4 0 6 0
4 5 0 6 0
4 6 0 6 0
4 7 0 6 0
4 8 0 6 4
4 9 0 6 4
4 10 0 6 4
4 11 0 6 4
4 12 0 6 0
4 13 0 6 0
4 14 0 6 0
4 15 0 6 0
5 0 0 6 5
5 1 0 6 4
5 2 0 6 5
5 3 0 6 4
5 4 0 6 1
5 5 0 6 0
5 6 0 6 1
5 7 0 6 0
5 8 0 6 5
5 9 0 6 4
5 10 0 6 5
5 11 0 6 4
5 12 0 6 1
5 13 0 6 0
5 14 0 6 1
5 15 0 6 0
6 0 0 6 6
6 1 0 6 6
6 2 0 6 4
6 3 0 6 4
6 4 0 6 2
6 5 0 6 2
6 6 0 6 0
6 7 0 6 0
6 8 0 6 6
6 9 0 6 6
6 10 0 6 4
6 11 0 6 4
6 12 0 6 2
6 13 0 6 2
6 14 0 6 0
6 15 0 6 0
7 0 0 6 7
7 1 0 6 6
7 2 0 6 5
7 3 0 6 4
7 4 0 6 3
7 5 0 6 2
7 6 0 6 1
7 7 0 6 0
7 8 0 6 7
7 9 0 6 6
7 10 0 6 5
7 11 0 6 4
7 12 0 6 3
7 13 0 6 2
7 14 0 6 1
7 15 0 6 0
8 0 0 6 8
8 1 0 6 8
8 2 0 6 8
8 3 0 6 8
8 4 0 6 8
8 5 0 6 8
8 6 0 6 8
8 7 0 6 8
8 8 0 6 0
8 9 0 6 0
8 10 0 6 0
8 11 0 6 0
8 12 0 6 0
8 13 0 6 0
8 14 0 6 0
8 15 0 6 0
9 0 0 6 9
9 1 0 6 8
9 2 0 6 9
9 3 0 6 8
9 4 0 6 9
9 5 0 6 8
9 6 0 6 9
9 7 0 6 8
9 8 0 6 1
9 9 0 6 0
9 10 0 6 1
9 11 0 6 0
9 12 0 6 1
9 13 0 6 0
9 14 0 6 1
9 15 0 6 0
10 0 0 6 10
10 1 0 6 10
10 2 0 6 8
10 3 0 6 8
10 4 0 6 10
10 5 0 6 10
10 6 0 6 8
10 7 0 6 8
10 8 0 6 2
10 9 0 6 2
10 10 0 6 0
10 11 0 6 0
10 12 0 6 2
10 13 0 6 2
10 14 0 6 0
10 15 0 6 0
11 0 0 6 11
11 1 0 6 10
11 2 0 6 9
11 3 0 6 8
11 4 0 6 11
11 5 0 6 10
11 6 0 6 9
11 7 0 6 8
11 8 0 6 3
11 9 0 6 2
11 10 0 6 1
11 11 0 6 0
11 12 0 6 3
11 13 0 6 2
11 14 0 6 1
11 15 0 6 0
12 0 0 6 12
12 1 0 6 12
12 2 0 6 12
12 3 0 6 12
12 4 0 6 8
12 5 0 6 8
12 6 0 6 8
12 7 0 6 8
12 8 0 6 4
12 9 0 6 4
12 10 0 6 4
12 11 0 6 4
12 12 0 6 0
12 13 0 6 0
12 14 0 6 0
12 15 0 6 0
13 0 0 6 13
13 1 0 6 12
13 2 0 6 13
13 3 0 6 12
13 4 0 6 9
13 5 0 6 8
13 6 0 6 9
13 7 0 6 8
13 8 0 6 5
13 9 0 6 4
13 10 0 6 5
13 11 0 6 4
13 12 0 6 1
13 13 0 6 0
13 14 0 6 1
13 15 0 6 0
14 0 0 6 14
14 1 0 6 14
14 2 0 6 12
14 3 0 6 12
14 4 0 6 10
14 5 0 6 10
14 6 0 6 8
14 7 0 6 8
14 8 0 6 6
14 9 0 6 6
14 10 0 6 4
14 11 0 6 4
14 12 0 6 2
14 13 0 6 2
14 14 0 6 0
14 15 0 6 0
15 0 0 6 15
15 1 0 6 14
15 2 0 6 13
15 3 0 6 12
15 4 0 6 11
15 5 0 6 10
15 6 0 6 9
15 7 0 6 8
15 8 0 6 7
15 9 0 6 6
15 10 0 6 5
15 11 0 6 4
15 12 0 6 3
15 13 0 6 2
15 14 0 6 1
15 15 0 6 0
0 0 0 7 0
1 0 0 7 1
2 0 0 7 2
3 0 0 7 3
4 0 0 7 4
5 0 0 7 5
6 0 0 7 6
7 0 0 7 7
8 0 0 7 8
9 0 0 7 9
10 0 0 7 10
11 0 0 7 11
12 0 0 7 12
13 0 0 7 13
14 0 0 7 14
15 0 0 7 15
